feature_a,feature_b,pearson,spearman
word_count,word_count,1.0,1.0
word_count,sentence_count,0.7126631334249458,0.7196677977002947
word_count,type_token_ratio,-0.8180192488196792,-0.8869190866889324
word_count,filler_count,0.6467987658698563,0.6287820996077093
word_count,filler_ratio,0.11531709739116923,0.1709875472660431
word_count,mean_clause_length,-0.19916640199131205,-0.13498471373817134
word_count,content_density,-0.08415962802548373,-0.08278779997779333
word_count,noun_ratio,-0.1374602638000702,-0.11252336486368351
word_count,verb_ratio,-0.2959032177642871,-0.3337041166658174
word_count,adjective_ratio,0.22880063889105964,0.28820923483898886
word_count,adverb_ratio,0.23758719334355793,0.30164634233711185
word_count,pronoun_ratio,0.2111512310429926,0.2638179331251269
word_count,determiner_ratio,-0.10998323630141947,-0.10748554281947534
sentence_count,word_count,0.7126631334249458,0.7196677977002947
sentence_count,sentence_count,1.0,1.0
sentence_count,type_token_ratio,-0.5999458805598777,-0.6203366574466788
sentence_count,filler_count,0.4321026036711248,0.4027639824533688
sentence_count,filler_ratio,0.034284909268621634,0.05588115367564333
sentence_count,mean_clause_length,-0.24805707033539157,-0.22513215399949263
sentence_count,content_density,0.11523713941904189,0.11455464629530726
sentence_count,noun_ratio,0.0684547791434635,0.07924327663340548
sentence_count,verb_ratio,-0.22542475739834095,-0.2331119858457289
sentence_count,adjective_ratio,0.1954153620314871,0.1964584958284486
sentence_count,adverb_ratio,0.16049249658185524,0.21051152860872144
sentence_count,pronoun_ratio,0.12748287810400097,0.18079722127639342
sentence_count,determiner_ratio,-0.03309053352545938,-0.022363767912507385
type_token_ratio,word_count,-0.8180192488196792,-0.8869190866889324
type_token_ratio,sentence_count,-0.5999458805598777,-0.6203366574466788
type_token_ratio,type_token_ratio,1.0,1.0
type_token_ratio,filler_count,-0.6181690150084506,-0.6233906374275259
type_token_ratio,filler_ratio,-0.21508733348806225,-0.22804619295621498
type_token_ratio,mean_clause_length,0.2480777236430009,0.09416936959185199
