model,training_size,n_repeats,n_pairs,pearson_mean,pearson_lo,pearson_hi,spearman_mean,spearman_lo,spearman_hi,jaccard3_mean,jaccard3_lo,jaccard3_hi,jaccard5_mean,jaccard5_lo,jaccard5_hi,jaccard10_mean,jaccard10_lo,jaccard10_hi
logistic_regression,80,20,190,0.1625833498504369,-0.45366569886228125,0.7229025381470058,0.12099479467900519,-0.4870879120879121,0.7103021978021978,0.25105263157894736,0.0,1.0,0.2973057644110275,0.0805555555555556,0.6666666666666666,0.6424365108575634,0.5384615384615384,0.8181818181818182
logistic_regression,120,20,190,0.3047813879802244,-0.36021675264225866,0.8100301465291712,0.22301908617698094,-0.3531593406593406,0.7233516483516486,0.30157894736842117,0.0,1.0,0.3501670843776107,0.1111111111111111,0.6666666666666666,0.6507545086492454,0.5384615384615384,0.8181818181818182
logistic_regression,160,20,190,0.4662278887785906,-0.25269200927419405,0.8451409278048362,0.3582128397917871,-0.2847527472527473,0.7927197802197803,0.3673684210526316,0.0,1.0,0.4044903926482874,0.1111111111111111,0.6666666666666666,0.6614893878051773,0.5384615384615384,0.8181818181818182
logistic_regression,200,20,190,0.6473344248709475,0.2524294741309212,0.9184909643435905,0.49473684210526314,0.06785714285714287,0.8421703296703297,0.41368421052631593,0.2,1.0,0.5106098579782791,0.25,1.0,0.6865906023800761,0.5384615384615384,0.8181818181818182
logistic_regression,240,20,190,0.7896905434213716,0.4921685972566791,0.948430294737015,0.6167437825332562,0.24423076923076925,0.901098901098901,0.4231578947368421,0.2,1.0,0.5642857142857143,0.25,1.0,0.7114219114219117,0.5384615384615384,1.0
logistic_regression,280,20,190,0.8536101923217744,0.6441151903392264,0.9691358497513239,0.6991902834008098,0.3910714285714286,0.9410714285714286,0.5021052631578947,0.2,1.0,0.5657268170426065,0.25,1.0,0.7658078763341921,0.5384615384615384,1.0
logistic_regression,320,20,190,1.0,0.9999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest,80,20,190,0.23355163012973912,-0.36776107699069693,0.7591571657915971,0.15361480624638518,-0.43310439560439556,0.6614010989010991,0.23052631578947366,0.0,0.5,0.3097535505430242,0.1111111111111111,0.6666666666666666,0.6596491228070176,0.5384615384615384,0.8181818181818182
random_forest,120,20,190,0.432885010292112,-0.06103229808023721,0.8455297918509458,0.355320994794679,-0.13942307692307693,0.7927197802197803,0.32368421052631585,0.0,0.5,0.4151002506265664,0.1111111111111111,0.7583333333333352,0.6675499938657834,0.5384615384615384,0.8181818181818182
random_forest,160,20,190,0.49056206080540343,-0.014258878118384211,0.8661688192603386,0.4004916136495084,-0.13887362637362635,0.7832417582417582,0.318421052631579,0.0,0.5,0.4025480367585631,0.1111111111111111,0.6666666666666666,0.690945896209054,0.5384615384615384,0.8181818181818182
random_forest,200,20,190,0.622824948901625,0.22170794254756046,0.8890493813767497,0.5995373048004627,0.16332417582417583,0.8751373626373627,0.41578947368421065,0.2,1.0,0.5360693400167085,0.25,1.0,0.7317016317016318,0.5384615384615384,1.0
