model,training_size,run_id,seed,feature_name,mean_abs_shap
logistic_regression,80,7,49,mean_clause_length,0.006488510910506401
logistic_regression,80,7,49,content_density,0.14655257100696809
logistic_regression,80,7,49,noun_ratio,0.016579876328036224
logistic_regression,80,7,49,verb_ratio,0.09145149207703114
logistic_regression,80,7,49,adjective_ratio,0.1325861863145576
logistic_regression,80,7,49,adverb_ratio,0.07722454467284559
logistic_regression,80,7,49,pronoun_ratio,0.27702258042027
logistic_regression,80,7,49,determiner_ratio,0.027928780153877418
logistic_regression,80,8,50,word_count,0.16129234754502017
logistic_regression,80,8,50,sentence_count,0.1281036900371627
logistic_regression,80,8,50,type_token_ratio,0.6191500633704288
logistic_regression,80,8,50,filler_count,0.02593833644070942
logistic_regression,80,8,50,filler_ratio,0.34009012852404746
logistic_regression,80,8,50,mean_clause_length,0.07331047877960704
logistic_regression,80,8,50,content_density,0.26274738778920786
logistic_regression,80,8,50,noun_ratio,0.05398837071513958
logistic_regression,80,8,50,verb_ratio,0.1303592246181473
logistic_regression,80,8,50,adjective_ratio,0.020760170564170437
logistic_regression,80,8,50,adverb_ratio,0.13444203568099775
logistic_regression,80,8,50,pronoun_ratio,0.2905814731470406
logistic_regression,80,8,50,determiner_ratio,0.04957051357082776
logistic_regression,80,9,51,word_count,0.3607800157576541
logistic_regression,80,9,51,sentence_count,0.7612932234057748
logistic_regression,80,9,51,type_token_ratio,0.6007627512724489
logistic_regression,80,9,51,filler_count,0.46508850844399047
logistic_regression,80,9,51,filler_ratio,0.07913465505567259
logistic_regression,80,9,51,mean_clause_length,0.30222194923128703
logistic_regression,80,9,51,content_density,0.29973370336505034
logistic_regression,80,9,51,noun_ratio,0.0925031102163093
logistic_regression,80,9,51,verb_ratio,0.04340219917339929
logistic_regression,80,9,51,adjective_ratio,0.4708222471570874
logistic_regression,80,9,51,adverb_ratio,0.006489900645576659
logistic_regression,80,9,51,pronoun_ratio,0.10649679997753517
logistic_regression,80,9,51,determiner_ratio,0.024559487660780147
logistic_regression,80,10,52,word_count,0.052364193666602034
logistic_regression,80,10,52,sentence_count,0.06295967211229325
logistic_regression,80,10,52,type_token_ratio,0.2960958721337045
logistic_regression,80,10,52,filler_count,0.3209648401167773
logistic_regression,80,10,52,filler_ratio,0.731324643556903
logistic_regression,80,10,52,mean_clause_length,0.043009121578314394
